customerID,Churn,customer.SeniorCitizen,customer.tenure,account.Charges.Monthly,account.Charges.Total,cuentas_diarias,gender_Male,customer.Partner_Yes,customer.Dependents_Yes,phone.PhoneService_Yes,phone.MultipleLines_No phone service,phone.MultipleLines_Yes,internet.InternetService_Fiber optic,internet.InternetService_No,internet.OnlineSecurity_No internet service,internet.OnlineSecurity_Yes,internet.OnlineBackup_No internet service,internet.OnlineBackup_Yes,internet.DeviceProtection_No internet service,internet.DeviceProtection_Yes,internet.TechSupport_No internet service,internet.TechSupport_Yes,internet.StreamingTV_No internet service,internet.StreamingTV_Yes,internet.StreamingMovies_No internet service,internet.StreamingMovies_Yes,account.Contract_One year,account.Contract_Two year,account.PaperlessBilling_Yes,account.PaymentMethod_Credit card (automatic),account.PaymentMethod_Electronic check,account.PaymentMethod_Mailed check
0023-HGHWL,1,1,-1.2774445836787658,-1.3181936310507012,-0.9947061424536425,-1.3147094560713004,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0023-UYUPN,0,1,0.7178532386027217,-1.3148700370503688,-0.429462587125322,-1.3147094560713004,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0023-XUOPT,1,0,-0.7888002190384015,0.9750862291785487,-0.4694778778436163,0.9783734536199046,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0027-KWYKW,0,0,-0.38159658183809786,0.6310942501441614,-0.18961349342079378,0.6294260543190691,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0030-FNXPP,0,0,-1.196003856238705,-1.4926823160681442,-0.9805441707661315,-1.4941681185688727,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0031-PVLZI,1,0,-1.1552834925186748,-1.4760643460664828,-0.9720955178746725,-1.4742282671802533,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0032-PGELS,1,0,-1.2774445836787658,-1.1387195550327598,-0.9923237546931266,-1.1352507935737277,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0036-IHMOT,0,0,0.9214550572028735,1.2941512532104444,1.4898816411591707,1.2974110758378112,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0
0040-HALCW,0,0,0.8807346934828431,-1.4744025490663168,-0.5246257426703727,-1.4742282671802533,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0042-JVWOJ,0,0,-0.2594354906780068,-1.5009913010689746,-0.7976076735628158,-1.5041380442631824,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0042-RLHYP,0,0,1.4915401492832985,-1.4976677070686424,-0.389491414698889,-1.4941681185688727,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0048-LUMLS,0,0,0.18848851024232707,0.8787020031689139,0.42698375363420216,0.8786741966768087,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
0048-PIHNL,0,0,0.6771328748826914,-1.4727407520661506,-0.6083181423314578,-1.4742282671802533,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0052-DCKON,0,0,1.3693790581232073,1.6963061272506461,2.4981610833597196,1.6962081036101946,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0
0052-YNYOT,0,0,1.4100994218432377,-1.4694171580658184,-0.41309470084474065,-1.4742282671802533,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0056-EPFBG,0,0,-0.503757672998189,-0.8429196890031899,-0.6416274526868185,-0.8461229484387497,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
0057-QBUQH,0,0,0.43281069256250926,-1.3181936310507012,-0.5336479333560299,-1.3147094560713004,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
0058-EVZWM,0,0,0.9214550572028735,0.8321716871642623,1.1823109694473861,0.828824568205261,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0060-FUALY,0,0,1.0843365120829949,0.9966895901807085,1.4638077306690802,0.9983133050085238,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0064-SUDOG,0,0,-0.8295205827584318,-1.477726143066649,-0.906734268482001,-1.4742282671802533,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
0064-YIJGF,0,0,-0.21871512695797646,0.36520673011758165,-0.15473798370435318,0.3602380605727102,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0067-DKWBL,1,1,-1.2367242199587354,-0.5155456799704635,-0.9655880698251152,-0.5171154005265335,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0068-FIGTF,0,0,-0.21871512695797646,0.4466347831257218,-0.08858260505817651,0.4499673918214963,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1
0071-NDAFP,0,0,-0.30015585439803716,-1.304899255049372,-0.7275698852328355,-1.3047395303769904,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0074-HDKDG,0,0,-0.30015585439803716,-0.10508182092943115,-0.295034151823621,-0.10834844705984055,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
0076-LVEPS,0,0,-0.13727439951791576,-0.6567984249845841,-0.457632116478829,-0.6566943602468676,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
0078-XZMHT,0,0,1.6137012404433895,0.6776245661488131,1.7808197168392057,0.6792756827906168,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
0080-EMYVY,0,0,-0.7480798553183711,-0.44242661196315414,-0.6846648463976192,-0.43735599497205674,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0080-OROZO,0,0,0.10704778280226637,1.1462513201956595,0.5524782348339685,1.1478621904231676,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
0082-LDZUE,0,0,-1.2774445836787658,-0.6800635829869098,-0.9862354304162526,-0.6766342116354868,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0082-OQIQY,0,0,-0.13727439951791576,0.9784098231788813,0.14464874486714094,0.9783734536199046,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
0083-PIVIK,0,0,1.2879383306831467,0.5480044001358553,1.4505281248187976,0.5496666487645923,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0089-IIQKO,0,0,0.26992923768238786,1.1695164781979852,0.6563326938757158,1.167802041811787,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
0093-EXYQL,0,1,0.3106496014024182,0.8903345821700765,0.6149497361097179,0.888644122371118,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0093-XWZFY,1,0,0.3106496014024182,1.3207400052131024,0.7752094312962714,1.3173509272264305,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
0094-OIFMO,1,1,-0.8702409464784622,1.0049985751815391,-0.5115226099875353,1.0082832307028333,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0096-BXERS,0,0,-1.073842765078614,-0.4789861459668089,-0.8670057466608059,-0.47723569774929514,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0096-FCPUF,0,0,-0.09655403579788539,-0.008697594919796055,-0.17262795105415288,-0.008649190116744598,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0098-BOWSO,0,0,-0.21871512695797646,-1.5076384890696393,-0.7720411234291317,-1.5041380442631824,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
0100-DUVFC,0,1,1.5322605130033287,1.330710787214099,2.2188040592933036,1.3273208529207403,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0
0103-CSITQ,0,0,1.0028957846429343,1.4835961112293827,1.7528046015072134,1.4868396640296935,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0
0104-PPXDV,0,0,1.0436161483629647,-0.48064794296697516,0.2641872566656178,-0.47723569774929514,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
0106-GHRQR,0,0,-0.6666391278783104,0.22063039110312913,-0.4710220180587655,0.22065910085237586,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0106-UGRDO,0,0,1.4915401492832985,1.7029533152513108,2.604353811870122,1.7061780293045046,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
0107-WESLM,1,0,-1.2774445836787658,-1.4926823160681442,-0.9970223527763663,-1.4941681185688727,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
0107-YHINA,1,0,-1.2774445836787658,1.1628692901973208,-0.9617718375791037,1.157832116117477,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0111-KLBQG,0,1,-0.015113308357824687,0.9701008381780506,0.2566430287573174,0.9684035279255948,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
0112-QAWRZ,0,0,-0.6666391278783104,0.8654076271675847,-0.3695058284856726,0.8687042709824989,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0112-QWPNC,1,0,0.6771328748826914,0.6510358141461547,0.7851360469650875,0.6493659057076883,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0
0114-IGABW,0,0,1.572980876723359,-0.21642221994056146,0.8233204285711334,-0.21801762969724586,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0114-PEGZZ,0,0,0.025607055362205665,1.422109622223236,0.6025524960966632,1.4170501841695264,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0114-RSRRW,0,0,-0.9109613101984925,-1.4893587220678117,-0.9229477407410673,-1.4941681185688727,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
0115-TFERT,1,0,-0.46303730927815856,1.5434208032353631,0.016485107009759466,1.546659218195551,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
0117-LFRMW,1,0,0.18848851024232707,-0.8163309370005318,-0.36659402122281987,-0.8162131713558209,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0118-JPNOY,0,1,-0.2594354906780068,0.6992279271509724,-0.037978924293144894,0.699215534179236,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
0121-SNYRK,0,0,0.7178532386027217,-0.9758634490164797,-0.2341950273467435,-0.9757319824647744,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
0122-OAHPZ,1,0,-1.0331224013585836,0.30205844411126875,-0.7802250665694223,0.30041850640685264,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0123-CRBRT,0,0,1.1657772395230557,0.775670589158614,1.4325278617393442,0.7789749397337127,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0125-LZQXK,1,0,-0.7073594915983408,1.2160467942026365,-0.3202036373305525,1.2176516702833347,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
0128-MKWSG,0,0,-0.2594354906780068,-0.6302096729819262,-0.49974302606054005,-0.6267845831639388,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0129-KPTWJ,0,0,1.6137012404433895,0.9933659961803765,1.9710357321996534,0.9983133050085238,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0129-QMPDR,0,0,0.47353105628253955,-1.4710789550659844,-0.6241345499637715,-1.4742282671802533,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0130-SXOUN,0,0,1.3693790581232073,0.8188773111629335,1.6311263525534585,0.8188546425109511,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0133-BMFZO,1,0,-1.2367242199587354,0.7141841001524676,-0.9256389565446129,0.7191553855678552,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0134-XWXCE,0,1,0.47353105628253955,0.3352943841145912,0.4360280034657902,0.3303282834897816,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0
0135-NMXAP,1,0,-0.8295205827584318,0.8305098901640962,-0.5414789301614292,0.828824568205261,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0136-IFMYD,0,1,1.4915401492832985,1.5018758782312098,2.362320862718454,1.4968095897240032,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
0137-OCGAB,1,0,-1.2774445836787658,0.5131066631323667,-0.9703969636380084,0.5097869459873539,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0137-UDEUO,1,0,-1.196003856238705,-1.4926823160681442,-0.9776544226492094,-1.4941681185688727,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0139-IVFJG,0,0,-1.2367242199587354,0.8504514541660895,-0.9217344877148786,0.8487644195938797,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0141-YEAYS,0,1,-0.21871512695797646,0.7208312881531321,0.05352241302740906,0.7191553855678552,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0142-GVYSN,0,0,-0.2594354906780068,-1.477726143066649,-0.7802250665694223,-1.4742282671802533,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
0147-ESWWR,0,1,0.26992923768238786,1.2127232002023045,0.7365176893338193,1.2176516702833347,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0
0148-DCDOS,1,0,-0.30015585439803716,0.9950277931805425,0.036338338347391703,0.9983133050085238,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0151-ONTOV,1,0,-1.2774445836787658,0.2040124211014679,-0.974499964781119,0.20071924946375666,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0156-FVPTA,1,0,-0.4223169455581282,-0.3510277769540173,-0.49722828342444,-0.3476266637232704,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0164-APGRB,0,0,1.6137012404433895,1.6663937812476561,2.7428190708771414,1.6662983265272662,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0
0164-XAIRP,0,0,-0.3408762181180675,-1.502653098069141,-0.798335625378529,-1.5041380442631824,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
0168-XZKBB,0,0,-0.5444780367182194,0.7341256641544609,-0.3155932758310357,0.7390952369564744,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
0174-QRVVY,0,0,1.572980876723359,-1.3098846460498705,-0.19067233242546755,-1.3047395303769904,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0177-PXBAT,0,1,0.025607055362205665,1.5002140812310438,0.6242586956924743,1.4968095897240032,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0178-CIIKR,0,0,-1.196003856238705,-1.4893587220678117,-0.9801912244312403,-1.4941681185688727,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0178-SZBHO,0,0,0.5956921474426307,0.745758243155624,0.7666504826751589,0.7490651626507842,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0181-RITDD,0,0,1.2064976032430859,1.4420511862252297,2.0055803547271336,1.4369900355581458,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0186-CAERR,0,0,1.572980876723359,1.7129240972523074,2.6602516876585214,1.716147954998814,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0
0187-QSXOE,0,1,-1.0331224013585836,0.8055829351616044,-0.7386656356359788,0.8088847168166418,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0187-WZNAB,0,0,-0.21871512695797646,0.3203382111130965,-0.13561270418243418,0.3203583577954718,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0188-GWFLE,0,0,-1.2367242199587354,-1.4860351280674797,-0.9909119693535617,-1.4841981928745631,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0191-EQUUH,0,0,-0.30015585439803716,-0.9874960280176427,-0.6332229180872209,-0.985701908159084,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0191-ZHSKZ,0,1,-0.09655403579788539,0.3319707901142592,-0.07431033764101184,0.3303282834897816,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0193-ESZXP,1,1,1.0436161483629647,1.3539759452164248,1.7319807677486303,1.357230630003669,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
0195-IESCP,1,0,-0.9109613101984925,0.680948160149145,-0.6284360834202585,0.6792756827906168,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0196-JTUQI,0,0,-0.9516816739185229,0.3469269631157544,-0.7261360407473398,0.35026813487840036,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0196-VULGZ,1,1,-1.073842765078614,0.6510358141461547,-0.796262065661043,0.6493659057076883,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
0197-PNKNK,0,0,1.4915401492832985,0.6543594081464872,1.5745225840952763,0.6593358314019976,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0201-MIBOL,0,1,1.3693790581232073,1.2509445312061254,1.8494898381214826,1.2475614473662635,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
0201-OAMXR,1,0,1.5322605130033287,1.6879971422498155,2.5799784556166956,1.6862381779158853,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0
0203-HHYIJ,1,0,-0.30015585439803716,-1.3115464430500368,-0.7073857667062426,-1.3147094560713004,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0206-OYVOC,0,0,0.5549717837226003,-1.5126238800701375,-0.6245095554445934,-1.5141079699574918,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
0206-TBWLC,0,0,0.8807346934828431,1.6580847962468257,1.6631562324448386,1.6563284008329564,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
0207-MDKNV,1,0,-0.7073594915983408,1.3406815692150957,-0.3074975692744679,1.3372907786150496,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0208-BPQEJ,0,0,-0.8295205827584318,-1.5076384890696393,-0.9183814975334119,-1.5041380442631824,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
0212-ISBBF,0,0,-0.4223169455581282,-0.4789861459668089,-0.5209859835918067,-0.47723569774929514,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0214-JHPFW,0,0,1.5322605130033287,-0.23137839294205667,0.776290329446876,-0.22798755539155546,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
0215-BQKGS,0,0,-0.09655403579788539,0.6493740171459886,0.07008883162136652,0.6493659057076883,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
0218-QNVAS,0,0,1.572980876723359,1.1894580421999785,2.1326851535798412,1.187741893200406,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
0219-QAERP,0,0,-0.09655403579788539,-1.4943441130683104,-0.7513717036920633,-1.4941681185688727,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0
0219-YTZUE,1,0,-1.1552834925186748,0.66599198714765,-0.8417039062782901,0.6693057570963074,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0220-EBGCE,1,0,-1.2367242199587354,0.7008897241511384,-0.9319699314267246,0.699215534179236,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
